"","inf_times","inf_dist"
"1",0,6603.01936324686
"2",0,177.114172838628
"3",0,5646.71363215894
"4",0,9835.07111202925
"5",0,5404.3993121013
"6",0,3698.62004881725
"7",0,4060.39289897308
"8",0,1942.1602319926
"9",0,3863.60442498699
"10",0,7169.06076762825
"11",0,9579.52736644074
"12",0,8832.06902770326
"13",0,5284.56211090088
"14",0,2598.50359987468
"15",0,4429.48847776279
"16",0,5204.37921164557
"17",0,5636.97276869789
"18",0,7271.4172070846
"19",0,4972.90925588459
"20",0,4626.7141145654
"21",0,291.240366641432
"22",0,1711.79107856005
"23",0,3506.00822595879
"24",0,1861.35066440329
"25",0,2611.51412269101
"26",0,8581.71928906813
"27",0,1159.82118528336
"28",0,3451.25409308821
"29",0,104.454562533647
"30",0,6039.18215958402
"31",0,7003.51522536948
"32",0,3883.8380202651
"33",0,1706.81133633479
"34",0,6118.15584124997
"35",0,9582.56692625582
"36",0,7246.74391094595
"37",0,6669.3328297697
"38",0,7532.51531394199
"39",0,9212.29062369093
"40",0,868.397019803524
"41",0,7124.28245926276
"42",0,2356.88501037657
"43",0,1311.48734129965
"44",0,7345.82180390134
"45",0,1052.47725266963
"46",0,2975.65695364028
"47",0,7231.03621276096
"48",0,7158.26643165201
"49",0,8026.13527746871
"50",0,983.012386132032
"51",0,930.0682018511
"52",0,2274.10744642839
"53",0,3803.56219829991
"54",0,7072.27764185518
"55",0,4370.49058964476
"56",0,6710.55265003815
"57",0,3641.43162034452
"58",0,118.196320254356
"59",0,5312.36805720255
"60",0,4970.92131758109
"61",0,6686.36038666591
"62",0,499.111851677299
"63",0,8786.81525122374
"64",0,1125.84559246898
"65",0,1896.2155515328
"66",0,6068.11171630397
"67",0,2549.9145523645
"68",0,6683.56971582398
"69",0,3374.34479268268
"70",0,867.064509075135
"71",0,3986.19790095836
"72",0,7245.56032801047
"73",0,7271.74082072452
"74",0,171.341658569872
"75",0,4326.29935443401
"76",0,5337.37493213266
"77",0,5851.98431042954
"78",0,5097.78063977137
"79",0,3178.14573412761
"80",0,7352.98107611015
"81",0,6639.87999781966
"82",0,1293.96324278787
"83",0,8960.11627512053
"84",0,8317.85188987851
"85",0,4574.75531613454
"86",0,9953.58180021867
"87",0,8132.20459967852
"88",0,3262.32681283727
"89",0,8286.39934770763
"90",0,8950.30037267134
"91",0,6589.60225060582
"92",0,6524.99483432621
"93",0,3533.8441026397
"94",0,9883.85802600533
"95",0,2953.11361551285
"96",0,1900.19144210964
"97",0,6019.24711139873
"98",0,969.512066803873
"99",0,7424.12470513955
"100",0,569.706377573311
"101",0,2091.50265902281
"102",0,4217.0894285664
"103",0,2739.20957697555
"104",0,2564.51732246205
"105",0,6113.24799945578
"106",0,4375.93060079962
"107",0,9078.00917513669
"108",0,1383.22120998055
"109",0,9702.27512763813
"110",0,9175.33977422863
"111",0,5525.76389629394
"112",0,9865.28402427211
"113",0,9150.68322792649
"114",0,9735.84634251893
"115",0,7739.06441638246
"116",0,1267.21798907965
"117",0,5600.98054120317
"118",0,722.586843185127
"119",0,9804.80796890333
"120",0,508.007002063096
"121",0,9830.44350752607
"122",0,1635.41932823136
"123",0,7372.92879028246
"124",0,511.378429364413
"125",0,2728.45344385132
"126",0,376.54731888324
"127",0,6925.67691206932
"128",0,7295.79587932676
"129",0,9509.03168646619
"130",0,2236.23729078099
"131",0,1756.56757317483
"132",0,3978.39568788186
"133",0,945.318345911801
"134",0,5574.0984971635
"135",0,1604.97231874615
"136",0,2685.76460424811
"137",0,560.816840734333
"138",0,8409.03867036104
"139",0,1799.01858326048
"140",0,2294.11531472579
"141",0,9434.87682845443
"142",0,5869.96951838955
"143",0,983.975832350552
"144",0,2160.07500654086
"145",0,8852.23306715488
"146",0,3548.53039141744
"147",0,4245.79141195863
"148",0,1311.20740668848
"149",0,217.369799502194
"150",0,9851.33937792853
"151",0,9491.26666877419
"152",0,6327.35891733319
"153",0,6574.15145775303
"154",0,4986.27959517762
"155",0,1180.93739962205
"156",0,2262.79868511483
"157",0,183.618352748454
"158",0,365.230350289494
"159",0,9596.88937058672
"160",0,1033.8043118827
"161",0,9922.32180200517
"162",0,4462.22624275833
"163",0,9817.43801152334
"164",0,3002.78249429539
"165",0,2981.5744352527
"166",0,3502.26748501882
"167",0,5008.14505154267
"168",0,8783.58979243785
"169",0,8219.43647228181
"170",0,9940.04360865802
"171",0,7673.93310088664
"172",0,6168.46109274775
"173",0,9849.26115022972
"174",0,7599.77606358007
"175",0,6985.00378290191
"176",0,5448.75478139147
"177",0,8856.63992492482
"178",0,7323.40577756986
"179",0,1903.20421708748
"180",0,6228.55706838891
"181",0,105.607965961099
"182",0,5757.26729352027
"183",0,6934.92042832077
"184",0,6481.34964052588
"185",0,6273.22531538084
"186",0,7995.94127573073
"187",0,6548.61981747672
"188",0,744.318312499672
